pairid	genesymbol	drugid	guidelineid	usedforrecommendation	version	cpiclevel	pgkbcalevel	pgxtesting	citations	removed	removeddate	removedreason
418189	COMT	RxNorm:4337	100416	f	68	C	3	\N	{33387367}	f	\N	\N
110336	OPRM1	RxNorm:4337	100416	f	79	C	3	\N	{33387367}	f	\N	\N
110339	CYP2C9	RxNorm:1665509	\N	f	78	C	\N	Actionable PGx	\N	f	\N	\N
110335	ABCB1	RxNorm:4337	\N	f	78	C	3	\N	\N	f	\N	\N
110340	CYP2D6	RxNorm:1665509	\N	f	78	C	\N	Actionable PGx	\N	f	\N	\N
110337	CYP2D6	RxNorm:797195	\N	f	78	C	\N	Actionable PGx	\N	f	\N	\N
110338	CYP2C19	RxNorm:1665509	\N	f	77	C	\N	Actionable PGx	\N	f	\N	\N
110341	MTHFR	RxNorm:4492	\N	f	77	C	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
3122503	SLC6A4	RxNorm:4493	100413	f	37	C	3	\N	{37032427}	f	\N	\N
110342	CYP2D6	RxNorm:4493	100413	f	87	C	3	Actionable PGx	{37032427}	f	\N	\N
3122374	HTR2A	RxNorm:4493	100413	f	38	C	4	\N	{37032427}	f	\N	\N
110343	GRIK4	RxNorm:4493	\N	f	77	C	\N	\N	\N	f	\N	\N
2777624	CYP3A4	RxNorm:41127	100426	f	58	C	3	\N	\N	f	\N	\N
2777771	HMGCR	RxNorm:41127	100426	f	58	C	3	\N	\N	f	\N	\N
3122092	CYP2C19	RxNorm:42355	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
3122375	HTR2A	RxNorm:42355	100413	f	38	C	4	\N	{37032427}	f	\N	\N
3122504	SLC6A4	RxNorm:42355	100413	f	37	C	3	\N	{37032427}	f	\N	\N
2452913	G6PD	RxNorm:4816	2405438	f	50	C	\N	\N	{36049896}	f	\N	\N
2452912	G6PD	RxNorm:4601	2405438	t	50	C	\N	\N	{36049896}	f	\N	\N
110344	CYP2D6	RxNorm:4637	\N	f	78	C	3	Informative PGx	\N	f	\N	\N
110191	G6PD	RxNorm:25789	2405438	f	78	C	\N	Actionable PGx	\N	f	\N	\N
110192	G6PD	RxNorm:4821	2405438	f	78	C	\N	Actionable PGx	{36049896}	f	\N	\N
110190	G6PD	RxNorm:4815	2405438	t	78	C	3	Actionable PGx	{36049896}	f	\N	\N
110346	F5	ATC:G03A	\N	f	79	C	1A	\N	\N	f	\N	\N
418191	COMT	RxNorm:5489	100416	f	67	C	\N	\N	{33387367}	f	\N	\N
418192	OPRM1	RxNorm:5489	100416	f	68	C	3	\N	{33387367}	f	\N	\N
418193	COMT	RxNorm:3423	100416	f	67	C	\N	\N	{33387367}	f	\N	\N
418194	OPRM1	RxNorm:3423	100416	f	67	C	\N	\N	{33387367}	f	\N	\N
110265	G6PD	RxNorm:5521	2405438	t	78	C	\N	Actionable PGx	{36049896}	f	\N	\N
110303	HLA-C	RxNorm:519	\N	f	78	C	2B	\N	\N	f	\N	\N
110304	MC4R	RxNorm:46303	\N	f	80	C	3	\N	\N	f	\N	\N
110305	MC4R	ATC:N05A	\N	f	78	C	2B	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110306	MC4R	RxNorm:89013	\N	f	80	C	3	\N	\N	f	\N	\N
110060	CYP2C9	RxNorm:1191	110058	f	80	C	\N	\N	{32189324}	f	\N	\N
110308	HLA-DPB1	RxNorm:1191	\N	f	78	C	2B	\N	\N	f	\N	\N
110309	CFTR	MeSH:C515878	\N	f	79	C	3	\N	\N	f	\N	\N
110310	CYP3A5	RxNorm:343047	\N	f	78	C	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
3122505	SLC6A4	RxNorm:1433212	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
2777625	CYP3A4	RxNorm:6472	100426	f	43	C	\N	\N	\N	f	\N	\N
2777632	CYP3A5	RxNorm:6472	100426	f	58	C	3	\N	\N	f	\N	\N
2777772	HMGCR	RxNorm:6472	100426	f	58	C	3	\N	\N	f	\N	\N
110066	CYP2C9	ATC:M01AH06	110058	f	79	C	\N	\N	{32189324}	f	\N	\N
110197	G6PD	RxNorm:6572	2405438	t	79	C	\N	Actionable PGx	{36049896}	f	\N	\N
2452922	G6PD	RxNorm:9061	2405438	f	50	C	\N	\N	{36049896}	f	\N	\N
110199	G6PD	RxNorm:52582	2405438	f	78	C	\N	\N	{36049896}	f	\N	\N
110068	CYP2C9	RxNorm:3523	\N	f	79	C	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110355	OPRM1	RxNorm:6813	100416	f	79	C	3	\N	{33387367}	f	\N	\N
110356	HLA-B	RxNorm:6826	\N	f	77	C	2A	\N	\N	f	\N	\N
110357	HLA-C	RxNorm:6826	\N	f	78	C	2B	\N	\N	f	\N	\N
110358	HLA-B	RxNorm:6835	\N	f	78	C	3	\N	\N	f	\N	\N
110359	ABCB1	RxNorm:6851	\N	f	78	C	3	\N	\N	f	\N	\N
110360	MTHFR	RxNorm:6851	\N	f	77	C	2A	\N	\N	f	\N	\N
110361	SLCO1B1	RxNorm:6851	\N	f	78	C	3	\N	\N	f	\N	\N
110362	CYP2D6	RxNorm:6901	\N	f	78	C	3	\N	\N	f	\N	\N
3122377	HTR2A	RxNorm:588250	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
3122506	SLC6A4	RxNorm:588250	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
110363	CYP2D6	RxNorm:30125	\N	f	78	C	\N	Actionable PGx	\N	f	\N	\N
418200	COMT	RxNorm:7052	100416	f	69	C	3	\N	{33387367}	f	\N	\N
110364	OPRM1	RxNorm:7052	100416	f	79	C	3	\N	{33387367}	f	\N	\N
110202	G6PD	RxNorm:139462	2405438	f	78	C	\N	\N	{36049896}	f	\N	\N
110069	CYP2C9	RxNorm:31448	110058	f	79	C	\N	\N	{32189324}	f	\N	\N
110204	G6PD	RxNorm:7240	2405438	t	78	C	\N	Actionable PGx	{36049896}	f	\N	\N
110366	OPRM1	RxNorm:7242	\N	f	77	C	3	\N	\N	f	\N	\N
418202	COMT	RxNorm:7243	100416	f	67	C	\N	\N	{33387367}	f	\N	\N
110367	OPRM1	RxNorm:7243	100416	f	80	C	4	\N	{33387367}	f	\N	\N
110070	CYP2C9	RxNorm:7258	110058	f	80	C	3	\N	{32189324}	f	\N	\N
110369	ABCB1	RxNorm:53654	\N	f	78	C	3	\N	\N	f	\N	\N
110370	HLA-B	RxNorm:53654	\N	f	78	C	3	\N	\N	f	\N	\N
110371	HLA-DRB1	RxNorm:53654	\N	f	77	C	2B	\N	\N	f	\N	\N
2452927	G6PD	RxNorm:31748	2405438	f	50	C	\N	\N	{36049896}	f	\N	\N
2452928	G6PD	RxNorm:7455	2405438	f	50	C	\N	\N	{36049896}	f	\N	\N
2452931	G6PD	RxNorm:7623	2405438	t	50	C	\N	\N	{36049896}	f	\N	\N
110372	CYP2D6	RxNorm:61381	\N	f	77	C	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110373	HTR2C	RxNorm:61381	\N	f	77	C	3	\N	\N	f	\N	\N
110374	MC4R	RxNorm:61381	\N	f	78	C	3	\N	\N	f	\N	\N
110375	MTHFR	RxNorm:32592	\N	f	77	C	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110376	HLA-A	RxNorm:32624	100423	f	78	C	3	\N	{29392710}	f	\N	\N
418205	COMT	RxNorm:7804	100416	f	69	C	3	\N	{33387367}	f	\N	\N
110377	CYP2D6	RxNorm:7804	100416	f	79	C	2A	\N	{33387367}	f	\N	\N
418206	OPRM1	RxNorm:7804	100416	f	68	C	3	\N	{33387367}	f	\N	\N
110378	MC4R	RxNorm:679314	\N	f	79	C	3	\N	\N	f	\N	\N
110379	CYP2D6	RxNorm:70561	\N	f	78	C	\N	Informative PGx	\N	f	\N	\N
3122097	CYP2C19	RxNorm:32937	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
3122378	HTR2A	RxNorm:32937	100413	f	37	C	3	\N	{37032427}	f	\N	\N
3122507	SLC6A4	RxNorm:32937	100413	f	37	C	3	\N	{37032427}	f	\N	\N
110380	GRIK4	RxNorm:32937	\N	f	77	C	\N	\N	\N	f	\N	\N
110208	G6PD	RxNorm:8120	2405438	t	78	C	3	\N	{36049896}	f	\N	\N
2946944	CYP3A4	RxNorm:861634	100426	f	40	C	\N	\N	\N	f	\N	\N
2946952	CYP3A5	RxNorm:861634	100426	f	40	C	\N	\N	\N	f	\N	\N
2947093	HMGCR	RxNorm:861634	100426	f	40	C	\N	\N	\N	f	\N	\N
2777620	CYP3A4	RxNorm:42463	100426	f	43	C	\N	\N	\N	f	\N	\N
110382	HLA-B	RxNorm:8794	\N	f	79	C	3	\N	\N	f	\N	\N
2777627	CYP3A5	RxNorm:42463	100426	f	43	C	\N	\N	\N	f	\N	\N
110212	G6PD	RxNorm:8698	2405438	f	79	C	\N	Actionable PGx	{36049896}	f	\N	\N
110383	MC4R	RxNorm:51272	\N	f	79	C	3	\N	\N	f	\N	\N
110384	CYP2D6	RxNorm:9068	\N	f	87	C	\N	\N	\N	f	\N	\N
110385	CYP2D6	RxNorm:9071	\N	f	78	C	\N	Actionable PGx	\N	f	\N	\N
110386	CYP2C19	RxNorm:114979	110076	f	78	C	2A	Actionable PGx	{32770672}	f	\N	\N
418207	COMT	RxNorm:73032	100416	f	69	C	3	\N	{33387367}	f	\N	\N
418208	OPRM1	RxNorm:73032	100416	f	68	C	3	\N	{33387367}	f	\N	\N
110387	DRD2	RxNorm:35636	\N	f	77	C	3	\N	\N	f	\N	\N
110388	HTR2C	RxNorm:35636	\N	f	77	C	3	\N	\N	f	\N	\N
110389	MC4R	RxNorm:35636	\N	f	79	C	3	\N	\N	f	\N	\N
110390	CYP2C8	RxNorm:84108	\N	f	77	C	3	\N	\N	f	\N	\N
2777622	CYP3A4	RxNorm:301542	100426	f	43	C	\N	\N	\N	f	\N	\N
2777629	CYP3A5	RxNorm:301542	100426	f	58	C	3	\N	\N	f	\N	\N
2777769	HMGCR	RxNorm:301542	100426	f	43	C	\N	\N	\N	f	\N	\N
110393	CYP2D6	RxNorm:36437	100413	f	79	C	3	\N	{37032427}	f	\N	\N
110394	GRIK4	RxNorm:36437	\N	f	77	C	\N	\N	\N	f	\N	\N
110064	CYP2C9	RxNorm:5781	110058	f	80	C	3	\N	{32189324}	f	\N	\N
110349	TNF	RxNorm:191831	\N	f	77	C	3	\N	\N	f	\N	\N
110350	NAT2	RxNorm:6038	\N	f	78	C	1B	\N	\N	f	\N	\N
110351	HLA-DQA1	RxNorm:480167	\N	f	79	C	3	Actionable PGx	\N	f	\N	\N
110352	MTHFR	RxNorm:6313	\N	f	77	C	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
418195	COMT	RxNorm:236913	100416	f	67	C	\N	\N	{33387367}	f	\N	\N
418196	OPRM1	RxNorm:236913	100416	f	67	C	\N	\N	{33387367}	f	\N	\N
3122376	HTR2A	RxNorm:1433212	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
110218	G6PD	RxNorm:10169	2405438	f	78	C	\N	\N	{36049896}	f	\N	\N
2452941	G6PD	RxNorm:10178	2405438	t	50	C	\N	\N	{36049896}	f	\N	\N
110220	G6PD	RxNorm:10831	2405438	t	80	C	4	Actionable PGx	{36049896}	f	\N	\N
2452943	G6PD	RxNorm:10184	2405438	t	50	C	\N	\N	{36049896}	f	\N	\N
110221	G6PD	RxNorm:9524	2405438	t	79	C	3	Actionable PGx	{36049896}	f	\N	\N
110222	G6PD	RxNorm:10207	2405438	t	78	C	\N	\N	{36049896}	f	\N	\N
110397	CYP3A4	RxNorm:42316	\N	f	93	C	2A	\N	\N	f	\N	\N
110398	DPYD	RxNorm:4582	100419	f	79	C	1A	\N	{23988873,29152729}	f	\N	\N
110399	CYP2D6	RxNorm:37801	\N	f	87	C	\N	\N	\N	f	\N	\N
110400	CYP2D6	RxNorm:69120	\N	f	77	C	\N	Informative PGx	\N	t	2020-09-14	Cleanup by Kelly Caudle
2452947	G6PD	RxNorm:10633	2405438	f	81	C	\N	Actionable PGx	{36049896}	f	\N	\N
2452948	G6PD	RxNorm:10635	2405438	t	81	C	\N	Actionable PGx	{36049896}	f	\N	\N
110401	CYP2D6	RxNorm:119565	\N	f	79	C	3	Actionable PGx	\N	f	\N	\N
418211	COMT	RxNorm:10689	100416	f	69	C	3	\N	{33387367}	f	\N	\N
110402	OPRM1	RxNorm:10689	100416	f	79	C	3	\N	{33387367}	f	\N	\N
2452950	G6PD	RxNorm:1425099	2405438	f	71	C	\N	\N	{36049896}	f	\N	\N
110403	TNF	ATC:L04AB	\N	f	77	C	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
3122101	CYP2C19	RxNorm:39786	100413	f	37	C	3	\N	{37032427}	f	\N	\N
3122380	HTR2A	RxNorm:39786	100413	f	37	C	3	\N	{37032427}	f	\N	\N
3122509	SLC6A4	RxNorm:39786	100413	f	38	C	4	\N	{37032427}	f	\N	\N
110404	GRIK4	RxNorm:39786	\N	f	77	C	\N	\N	\N	f	\N	\N
3122381	HTR2A	RxNorm:1086769	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
3122510	SLC6A4	RxNorm:1086769	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
110405	G6PD	RxNorm:1151	2405438	t	77	C	\N	\N	{36049896}	f	\N	\N
2452952	G6PD	RxNorm:11258	2405438	t	50	C	\N	\N	{36049896}	f	\N	\N
3122103	CYP2C19	RxNorm:1455099	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
110406	MC4R	RxNorm:115698	\N	f	78	C	\N	\N	\N	f	\N	\N
3122382	HTR2A	RxNorm:1455099	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
3122511	SLC6A4	RxNorm:1455099	100413	f	37	C	\N	\N	{37032427}	f	\N	\N
110407	COMT	RxNorm:2555	\N	f	77	C/D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110408	CYP2A7P1	RxNorm:195085	\N	f	77	C/D	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110409	OPRM1	RxNorm:448	\N	f	77	C/D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110410	ITPA	RxNorm:5880	\N	f	78	C/D	3	\N	\N	f	\N	\N
110411	ABCB1	RxNorm:6813	\N	f	77	C/D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110412	CYP3A5	RxNorm:6960	\N	f	77	C/D	3	\N	\N	f	\N	\N
110413	ABCB1	RxNorm:7052	\N	f	77	C/D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110415	COMT	RxNorm:7407	\N	f	78	C/D	3	\N	\N	f	\N	\N
110416	ABCB1	RxNorm:26225	\N	f	78	C/D	3	\N	\N	f	\N	\N
110417	UGT2B15	RxNorm:7781	\N	f	77	C/D	3	\N	\N	f	\N	\N
110418	ABCB1	RxNorm:7804	\N	f	77	C/D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110419	GSTP1	ATC:L01XA	\N	f	77	C/D	2A	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110420	ABCB1	RxNorm:357977	\N	f	77	C/D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110421	ABCB1	RxNorm:10689	\N	f	77	C/D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110422	KCNIP4	ATC:C09AA	\N	f	77	D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110423	FDPS	RxNorm:46041	\N	f	77	D	\N	\N	\N	f	\N	\N
110424	NQO1	ATC:L01A	\N	f	77	D	2A	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110425	CBR3	ATC:L01DB	\N	f	77	D	2B	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110426	HAS3	ATC:L01DB	\N	f	77	D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110427	NQO1	ATC:L01DB	\N	f	77	D	2A	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110428	SLC28A3	ATC:L01DB	\N	f	77	D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110429	FKBP5	ATC:N06A	\N	f	77	D	2B	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110430	GRIK4	ATC:N06A	\N	f	77	D	2B	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110431	HTR2A	ATC:N06A	\N	f	77	D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110432	ANKK1	ATC:N05A	\N	f	77	D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110433	GP1BA	RxNorm:1191	\N	f	78	D	3	\N	\N	f	\N	\N
110434	LTC4S	RxNorm:1191	\N	f	78	D	3	\N	\N	f	\N	\N
110435	PTGS1	RxNorm:1191	\N	f	78	D	3	\N	\N	f	\N	\N
110436	APOE	RxNorm:83367	\N	f	77	D	2B	\N	\N	f	\N	\N
110437	CETP	RxNorm:83367	\N	f	78	D	4	\N	\N	f	\N	\N
110438	COQ2	RxNorm:83367	\N	f	77	D	3	\N	\N	f	\N	\N
110439	KIF6	RxNorm:83367	\N	f	77	D	3	\N	\N	f	\N	\N
110440	LDLR	RxNorm:83367	\N	f	87	D	\N	\N	\N	f	\N	\N
110441	LPA	RxNorm:83367	\N	f	77	D	\N	\N	\N	f	\N	\N
110443	CRHR1	RxNorm:19831	\N	f	77	D	\N	\N	\N	f	\N	\N
110444	ANKK1	RxNorm:42347	\N	f	77	D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110445	ADORA2A	RxNorm:1886	\N	f	78	D	3	\N	\N	f	\N	\N
110446	TYMS	RxNorm:194000	\N	f	77	D	3	\N	\N	f	\N	\N
110447	ACE	RxNorm:1998	\N	f	77	D	2A	\N	\N	f	\N	\N
110448	EPHX1	RxNorm:2002	\N	f	78	D	3	\N	\N	f	\N	\N
110449	FLOT1	RxNorm:2002	\N	f	77	D	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110450	CETP	RxNorm:596723	\N	f	77	D	\N	\N	\N	f	\N	\N
110451	LPA	RxNorm:596723	\N	f	77	D	\N	\N	\N	f	\N	\N
3122508	SLC6A4	RxNorm:36437	100413	f	39	C	4	\N	{37032427}	f	\N	\N
110395	ABCB1	RxNorm:36567	\N	f	77	C	3	\N	\N	f	\N	\N
2777621	CYP3A4	RxNorm:36567	100426	f	58	C	3	\N	\N	f	\N	\N
2777628	CYP3A5	RxNorm:36567	100426	f	58	C	4	\N	\N	f	\N	\N
110396	CYP3A5	RxNorm:35302	\N	f	78	C	3	\N	\N	f	\N	\N
110217	G6PD	RxNorm:9894	2405438	f	78	C	\N	Actionable PGx	{36049896}	f	\N	\N
418209	COMT	RxNorm:56795	100416	f	69	C	3	\N	{33387367}	f	\N	\N
418210	OPRM1	RxNorm:56795	100416	f	68	C	3	\N	{33387367}	f	\N	\N
110461	ANKK1	RxNorm:2626	\N	f	77	D	\N	\N	\N	f	\N	\N
110462	GSTP1	RxNorm:3002	\N	f	78	D	3	\N	\N	f	\N	\N
110463	NQO1	RxNorm:3002	\N	f	78	D	3	\N	\N	f	\N	\N
110464	SOD2	RxNorm:3002	\N	f	77	D	3	\N	\N	f	\N	\N
110465	TP53	RxNorm:3002	\N	f	77	D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110466	CBR3	RxNorm:3109	\N	f	77	D	\N	\N	\N	f	\N	\N
110467	HAS3	RxNorm:3109	\N	f	77	D	\N	\N	\N	f	\N	\N
110468	CBR3	RxNorm:3639	\N	f	77	D	3	\N	\N	f	\N	\N
110469	HAS3	RxNorm:3639	\N	f	77	D	\N	\N	\N	f	\N	\N
110470	NQO1	RxNorm:3639	\N	f	77	D	\N	\N	\N	f	\N	\N
110471	SERPINC1	RxNorm:711942	\N	f	77	D	\N	Actionable PGx	\N	f	\N	\N
110472	CBR3	RxNorm:3995	\N	f	77	D	3	\N	\N	f	\N	\N
110473	GSTP1	RxNorm:3995	\N	f	79	D	3	\N	\N	f	\N	\N
110474	HAS3	RxNorm:3995	\N	f	77	D	\N	\N	\N	f	\N	\N
110475	NQO1	RxNorm:3995	\N	f	78	D	3	\N	\N	f	\N	\N
110476	ANKK1	RxNorm:448	\N	f	77	D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110477	DYNC2H1	RxNorm:4179	\N	f	77	D	3	\N	\N	f	\N	\N
110478	GSTP1	RxNorm:4492	\N	f	78	D	3	\N	\N	f	\N	\N
110479	NQO1	RxNorm:4492	\N	f	79	D	3	\N	\N	f	\N	\N
110480	TYMS	RxNorm:4492	\N	f	77	D	3	\N	\N	f	\N	\N
110481	UMPS	RxNorm:4492	\N	f	78	D	3	\N	\N	f	\N	\N
110482	FKBP5	RxNorm:4493	\N	f	79	D	3	\N	\N	f	\N	\N
110483	CRHR1	RxNorm:50121	\N	f	77	D	\N	\N	\N	f	\N	\N
110485	CETP	RxNorm:41127	\N	f	77	D	3	\N	\N	f	\N	\N
110486	LPA	RxNorm:41127	\N	f	77	D	\N	\N	\N	f	\N	\N
110487	ADD1	RxNorm:4603	\N	f	78	D	3	\N	\N	f	\N	\N
110488	NT5C2	RxNorm:12574	\N	f	78	D	3	\N	\N	f	\N	\N
110489	CETP	ATC:C10AA	\N	f	77	D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110490	HMGCR	ATC:C10AA	\N	f	77	D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110491	LPA	ATC:C10AA	\N	f	77	D	2B	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110492	NAT1	RxNorm:5470	\N	f	77	D	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110493	NEDD4L	RxNorm:5487	\N	f	77	D	3	\N	\N	f	\N	\N
110494	PRKCA	RxNorm:5487	\N	f	78	D	3	\N	\N	f	\N	\N
110495	YEATS4	RxNorm:5487	\N	f	78	D	3	\N	\N	f	\N	\N
110496	CBR3	RxNorm:5650	\N	f	77	D	\N	\N	\N	f	\N	\N
110497	HAS3	RxNorm:5650	\N	f	77	D	\N	\N	\N	f	\N	\N
110498	C8orf34	RxNorm:51499	\N	f	77	D	3	\N	\N	f	\N	\N
110499	SEMA3C	RxNorm:51499	\N	f	77	D	3	\N	\N	f	\N	\N
110501	NAT2	RxNorm:6058	\N	f	77	D	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110502	UGT1A4	RxNorm:28439	\N	f	78	D	3	\N	\N	f	\N	\N
110503	PTGFR	RxNorm:43611	\N	f	78	D	3	\N	\N	f	\N	\N
110504	C11orf65	RxNorm:6809	\N	f	78	D	4	\N	\N	f	\N	\N
110505	SLC47A2	RxNorm:6809	\N	f	77	D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110506	ATIC	RxNorm:6851	\N	f	77	D	2B	\N	\N	f	\N	\N
110507	MTRR	RxNorm:6851	\N	f	77	D	3	\N	\N	f	\N	\N
110508	CYB5R1	RxNorm:6915	\N	f	78	D	\N	Actionable PGx	\N	f	\N	\N
110509	CYB5R2	RxNorm:6915	\N	f	78	D	\N	Actionable PGx	\N	f	\N	\N
110510	CYB5R3	RxNorm:6915	\N	f	78	D	\N	Actionable PGx	\N	f	\N	\N
110511	CYB5R4	RxNorm:6915	\N	f	78	D	\N	Actionable PGx	\N	f	\N	\N
110512	FKBP5	RxNorm:15996	\N	f	79	D	3	\N	\N	f	\N	\N
110513	CCHCR1	RxNorm:53654	\N	f	77	D	3	\N	\N	f	\N	\N
110514	CHRNA3	RxNorm:7407	\N	f	78	D	3	\N	\N	f	\N	\N
110515	ANKK1	RxNorm:61381	\N	f	77	D	3	\N	\N	f	\N	\N
110516	GSTM1	RxNorm:32592	\N	f	77	D	3	\N	\N	f	\N	\N
110517	GSTP1	RxNorm:32592	\N	f	78	D	3	\N	\N	f	\N	\N
110518	FKBP5	RxNorm:32937	\N	f	78	D	3	\N	\N	f	\N	\N
110519	HTR1A	RxNorm:32937	\N	f	78	D	3	\N	\N	f	\N	\N
110520	VDR	RxNorm:253453	\N	f	77	D	3	\N	\N	f	\N	\N
110522	DYNC2H1	ATC:L01XA	\N	f	77	D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110523	ERCC1	ATC:L01XA	\N	f	77	D	2B	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110524	NQO1	ATC:L01XA	\N	f	77	D	2A	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110525	CETP	RxNorm:42463	\N	f	77	D	3	\N	\N	f	\N	\N
110526	HMGCR	RxNorm:42463	\N	f	77	D	3	\N	\N	f	\N	\N
110527	KIF6	RxNorm:42463	\N	f	78	D	2B	\N	\N	f	\N	\N
110528	LPA	RxNorm:42463	\N	f	77	D	\N	\N	\N	f	\N	\N
110529	TANC1	MedDRA:10037794	\N	f	77	D	2B	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110530	FDPS	RxNorm:72143	\N	f	77	D	\N	\N	\N	f	\N	\N
110531	VDR	RxNorm:9344	\N	f	77	D	3	\N	\N	f	\N	\N
110532	FDPS	RxNorm:73056	\N	f	77	D	\N	\N	\N	f	\N	\N
110533	ANKK1	RxNorm:35636	\N	f	77	D	3	\N	\N	f	\N	\N
110534	FCGR3A	RxNorm:121191	\N	f	78	D	2B	\N	\N	f	\N	\N
110535	COQ2	RxNorm:301542	\N	f	77	D	3	\N	\N	f	\N	\N
110536	LPA	RxNorm:301542	\N	f	78	D	3	\N	\N	f	\N	\N
110537	ADRB2	RxNorm:435	\N	f	78	D	3	\N	\N	f	\N	\N
110538	COL22A1	RxNorm:435	\N	f	78	D	3	\N	\N	f	\N	\N
110539	CRHR2	RxNorm:435	\N	f	77	D	3	\N	\N	f	\N	\N
110540	ADRB2	RxNorm:36117	\N	f	77	D	2A	\N	\N	f	\N	\N
110541	TXNRD2	ATC:N06AB	\N	f	77	D	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110542	GNB3	RxNorm:136411	\N	f	77	D	3	\N	\N	f	\N	\N
110543	CETP	RxNorm:36567	\N	f	77	D	3	\N	\N	f	\N	\N
110544	HMGCR	RxNorm:36567	\N	f	77	D	3	\N	\N	f	\N	\N
110545	LPA	RxNorm:36567	\N	f	77	D	\N	\N	\N	f	\N	\N
110546	ADD1	RxNorm:9997	\N	f	78	D	3	\N	\N	f	\N	\N
110548	ABCC4	RxNorm:117466	\N	f	77	D	3	\N	\N	f	\N	\N
110549	CRHR1	RxNorm:10759	\N	f	77	D	\N	\N	\N	f	\N	\N
110550	FKBP5	RxNorm:39786	\N	f	78	D	3	\N	\N	f	\N	\N
110551	CALU	RxNorm:11289	\N	f	77	D	3	\N	\N	f	\N	\N
110552	GGCX	RxNorm:11289	\N	f	77	D	3	\N	\N	f	\N	\N
1354912	ACYP2	RxNorm:2555	\N	f	59	D	3	\N	\N	f	\N	\N
110454	ERCC1	RxNorm:2555	\N	f	78	D	3	\N	\N	f	\N	\N
110455	GSTM1	RxNorm:2555	\N	f	77	D	3	\N	\N	f	\N	\N
110456	NQO1	RxNorm:2555	\N	f	77	D	\N	\N	\N	f	\N	\N
110457	TMEM43	RxNorm:2555	\N	f	77	D	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110458	TP53	RxNorm:2555	\N	f	77	D	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110459	XPC	RxNorm:2555	\N	f	77	D	3	\N	\N	f	\N	\N
110460	FKBP5	RxNorm:2556	\N	f	78	D	3	\N	\N	f	\N	\N
5401564	GRK5	RxNorm:8332	5290480	f	18	C	\N	\N	{38951961}	f	\N	\N
