id	publicationid	ethnicity	population	populationinfo	subjecttype	subjectcount	version
7585016	116262	Near Eastern	Turkish	South-East Anatolia	\N	96	1
7585020	116836	Near Eastern	Israeli	Libyan	\N	89	1
7585021	116836	Near Eastern	Israeli	Moroccan	\N	100	1
7585022	116836	Near Eastern	Israeli	Yementite	\N	99	1
7585023	114806	Near Eastern	Ashkenazi Jews	New York	\N	250	1
7585024	117215	Near Eastern	Omani	\N	Warfarin treated patients	189	1
7585025	116235	Near Eastern	Iranian	\N	\N	200	1
7585026	116657	Near Eastern	Ashkenazi Jews in NY	\N	\N	260	1
7585027	116657	Near Eastern	Sephardi Jews in NY	\N	\N	80	1
7585028	116240	Near Eastern	Iranian	Shiraz	\N	148	1
7585029	116660	Near Eastern	Israeli population	Arab Moslem	\N	96	1
7585030	116660	Near Eastern	Israeli population	Druze	\N	180	1
7585031	116660	Near Eastern	Israeli population	Jewish	\N	162	1
7585032	116242	Near Eastern	Iranian	\N	Warfarin treated patients	100	1
7585033	116579	Near Eastern	Ashkenazi Jews	New York	\N	502	1
7585034	116645	Near Eastern	Lebanese	\N	\N	161	1
7585035	116647	Near Eastern	Lebanese	\N	\N	231	1
7585036	117162	Near Eastern	Egyptian	\N	Warfarin treated patients	207	1
7585037	117174	Near Eastern	Egyptian	\N	\N	200	1
7585038	116248	Near Eastern	Iranian	Mazandaran	\N	103	1
7585039	113912	Near Eastern	Israeli patients	\N	Warfarin-treated cohort	210	1
7585040	113908	Near Eastern	Omani	\N	\N	220	1
7585041	117210	Near Eastern	Turkish	\N	Anticoagulant treated patients	292	1
7585042	114204	Near Eastern	Jordanian	\N	\N	263	1
7585043	116651	Near Eastern	Arabic population in Saudi arabia	\N	Healthy adults	131	1
7585044	117164	Near Eastern	Moroccan	\N	Acencoumarol treated patients	114	1
7585045	117172	Near Eastern	Egyptian	\N	Warfarin treated pediatric patients	41	1
7585046	117168	Near Eastern	Tunisian	\N	\N	258	1
7585047	117166	Near Eastern	Egyptian	\N	Warfarin treated patients	80	1
7585048	117212	Near Eastern	Turkish	\N	Behcet's disease patients	52	1
7585049	117212	Near Eastern	Turkish	\N	Healthy controls	73	1
7585050	116649	Near Eastern	Iranian	\N	\N	115	1
7585051	117199	Near Eastern	Turkish	\N	Warfarin treated pediatric patients and healthy controls	207	1
7585052	117170	Near Eastern	Moroccan	\N	\N	290	1
7585053	114837	Near Eastern	Turkish	\N	\N	160	1
7585054	117201	Near Eastern	Iranian	Birjand	\N	120	1
7585055	117203	Near Eastern	Iranian	Sistani ethnic group	\N	140	1
7585056	114400	Near Eastern	Ashkenazi Jews	Argentinian	\N	173	1
7585057	117206	Near Eastern	Ashkenazi Jews	\N	\N	5076	1
7585058	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, v2.1.1. accessed 01/27/2022	\N	5181	1
7585059	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, v2.1.1. accessed 01/27/2022	\N	5039	1
7585060	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, v2.1.1. accessed 01/27/2022	\N	5037	1
7585061	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, v2.1.1. accessed 01/27/2022	\N	5182	1
7585062	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, v2.1.1. accessed 01/27/2022	\N	5035	1
7585063	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, v2.1.1. accessed 01/27/2022	\N	5180	1
7585064	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, v2.1.1. accessed 01/27/2022	\N	5038	1
7585065	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, v2.1.1. accessed 01/27/2022	\N	5034	1
7585066	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, v2.1.1. accessed 01/27/2022	\N	5036	1
7585067	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, v2.1.1. accessed 01/27/2022	\N	5178	1
7585068	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, v2.1.1. accessed 01/27/2022	\N	5183	1
7585069	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, v2.1.1. accessed 01/27/2022	\N	5031	1
7585070	114842	Oceanian	New Zealand Maori	\N	\N	60	1
7585071	116998	Oceanian	Polynesian	Maori and pacific island	\N	1072	1
7585072	117005	Sub-Saharan African	Black from Ethiopians	\N	\N	150	1
7585073	116843	Sub-Saharan African	Ethiopian	\N	\N	150	1
7585074	116843	Sub-Saharan African	Ethiopian	\N	\N	150	1
7585075	116843	Sub-Saharan African	Tanzanian	\N	\N	183	1
7585076	116843	Sub-Saharan African	Tanzanian	\N	\N	183	1
7585077	116003	Sub-Saharan African	Beninese	Zou department of Benin	\N	111	1
7585078	117022	Sub-Saharan African	Black from Brazil	\N	\N	77	1
7585079	117236	Sub-Saharan African	Beninese	\N	\N	109	1
7585080	117232	Sub-Saharan African	Ethiopian	\N	\N	150	1
7585081	117238	Sub-Saharan African	Gambian	Farafenni and surrounding villages	\N	43	1
7585082	116338	Sub-Saharan African	Ghanaian	\N	\N	204	1
7585083	114248	Sub-Saharan African	South African	Black	\N	993	1
7585084	116723	Sub-Saharan African	Mozambican	Maputo	Warfarin treated patients and healthy controls	206	1
7585085	116248	Sub-Saharan African	Ethiopian	\N	\N	150	1
7585086	116590	Sub-Saharan African	Black from Brazil	\N	\N	117	1
7585087	116907	Sub-Saharan African	Tanzanian	\N	Malaria patients	131	1
7585088	113537	Sub-Saharan African	Gambian	Mandinka	\N	113	1
7585089	113537	Sub-Saharan African	Kenyan	Luhya in Webuye	\N	99	1
7585090	113537	Sub-Saharan African	Nigerian	Esan	\N	99	1
7585091	113537	Sub-Saharan African	Nigerian	Yoruba in Ibadan	\N	108	1
7585092	113537	Sub-Saharan African	Sierra Leonean	Mende	\N	85	1
7585093	117241	Sub-Saharan African	Ghanaian	\N	Warfarin treated patients	86	1
7585094	117241	Sub-Saharan African	Ghanaian	\N	Warfarin treated patients	84	1
7585095	114400	Sub-Saharan African	Afro-Latin Americans	\N	\N	89	1
7585096	114361	African American/Afro-Caribbean	African American	\N	healthy subjects	408	1
7585097	114363	African American/Afro-Caribbean	African American	\N	healthy subjects	246	1
7585098	114365	African American/Afro-Caribbean	African American	Southern CA	healthy subjects	154	1
7585099	114367	African American/Afro-Caribbean	African American	Atlanta	healthy subjects	251	1
7585100	114369	African American/Afro-Caribbean	African American	\N	healthy subjects	193	1
7585101	114371	African American/Afro-Caribbean	African American	\N	healthy subjects	251	1
7585102	114373	African American/Afro-Caribbean	African American	\N	healthy subjects	251	1
7585103	114375	African American/Afro-Caribbean	African American	\N	controls	131	1
7586104	\N	East Asian	East Asian	\N	\N	14834	1
7585104	114375	African American/Afro-Caribbean	African American	\N	controls+psychiatric patients	222	1
7585105	114375	African American/Afro-Caribbean	African American	\N	psychiatric	91	1
7585106	114379	African American/Afro-Caribbean	African American	\N	healthy subjects+sickle cell patients	407	1
7585107	114385	African American/Afro-Caribbean	African American	\N	healthy subjects+sickle cell patients	422	1
7585108	114381	African American/Afro-Caribbean	African American	Atlanta	healthy subjects	280	1
7585109	114381	African American/Afro-Caribbean	African American	Kansas City	sickle cell patients	125	1
7585110	114381	African American/Afro-Caribbean	African American	Milwaukee	sickle cell patients	73	1
7585111	114387	African American/Afro-Caribbean	African American	\N	healthy subjects, or with unrelated disease	272	1
7585112	114389	African American/Afro-Caribbean	African American	Kentucky	mentally ill patients	452	1
7585113	114391	African American/Afro-Caribbean	African American	Kansas City	sickle cell patients	154	1
7585114	114406	African American/Afro-Caribbean	Trinidadian	Afro-trinidadians	healthy subjects	103	1
7585115	114393	African American/Afro-Caribbean	African American	Atlanta	sickle cell patients	75	1
7585116	114402	African American/Afro-Caribbean	Costa Rican	Afro-Caribbean	healthy	49	1
7585117	114397	African American/Afro-Caribbean	Antillean	Dutch Caribbean living in the Netherlands	healthy	165	1
7585118	114397	African American/Afro-Caribbean	Antillean	Island of Curacao, mainly African decent	mentally ill	231	1
7585119	114395	African American/Afro-Caribbean	African American	self defined, living in the US	patients for which a PGx test was ordered	6762	1
7585120	114400	African American/Afro-Caribbean	Costa Rica & Cuba	Afro Latin American	Afro-descendants (Costa Rica) or 4 grandparents (Cuba)	82	1
7585121	114404	African American/Afro-Caribbean	African American	African American/Black	US military volunteers	158	1
7585122	3001761	African American/Afro-Caribbean	People with African Ancestry in Southwest United States/African Caribbean in Barbados	\N	healthy subjects	157	1
7585123	114449	American	Canadian	Inuit	healthy, unrelated in first degree	90	1
7585124	114451	American	Canadian	Native Indians, Toronto	\N	39	1
7585125	114451	American	Canadian	Native Indians, Toronto, mixed ancestry	\N	110	1
7585126	114454	American	Chilean	Mapuches, Southern Chile	healthy subjects	84	1
7585127	114477	American	Panamanian	Embera	healthy subjects	136	1
7585128	114477	American	Panamanian	Ngawbe	healthy subjects	105	1
7585129	114470	American	Mexican	Tepehuano, Guajolota Community	healthy subjects	85	1
7585130	114447	American	Argentinian+Paraguayan	Native Americans	healthy subjects	84	1
7585131	114459	American	Mexican	Amerindian (Mixtecos, Tepehuanos, Maysa, Zapotecos)	healthy subjects	120	1
7585132	114480	American	Venezuelan	Bari	healthy subjects	40	1
7585133	114480	American	Venezuelan	Bari, Panare, Pemon, Warao, Wayuu	healthy subjects	179	1
7585134	114480	American	Venezuelan	Panare	healthy subjects	46	1
7585135	114480	American	Venezuelan	Pemon	healthy subjects	40	1
7585136	114480	American	Venezuelan	Warao	healthy subjects	29	1
7585137	114480	American	Venezuelan	Wayuu	healthy subjects	24	1
7585138	114461	American	Mexican	5 Amerindian subpopulations	healthy subjects	291	1
7585139	114402	American	Costa Rican	Amerindian	healthy	197	1
7585140	114463	American	Mexican	Coras	healthy	81	1
7585141	114463	American	Mexican	Huicholes	healthy	107	1
7585142	114463	American	Mexican	Tarahumaras	healthy	74	1
7585143	114463	American	Mexican	Tepehuanos	healthy	129	1
7585144	114468	American	Mexican	Lacandones	healthy	154	1
7585145	114488	American	Venezuelan	Estado Aragua	\N	145	1
7585146	114472	American	Mexican Native	Tzotzil, Tzeltal	healthy	110	1
7585147	114457	American	Ecuadorian	\N	healthy subjects	139	1
7585148	114444	American	American Native Indian	Helena, Montana	psychiatric patients	123	1
7585149	114442	American	Alaska Native	AIAN people	\N	380	1
7585150	114442	American	American Native Indian	Kootenai	\N	187	1
7585151	114400	American	Native Americans (Central)	rural populations, locally recognized as indiginous	\N	196	1
7585152	114400	American	Native Americans (North)	rural populations, locally recognized as indiginous	\N	946	1
7585153	114400	American	Native Americans (South)	rural populations, locally recognized as indiginous	\N	214	1
7585154	114404	American	Native American/Alaska Native	\N	US military volunteers	7	1
7585155	3001761	American	American (AMR)	\N	healthy subjects	345	1
7585156	114851	Central/South Asian	Indian	West and central India	healthy	881	1
7585157	114853	Central/South Asian	Indian	living in Malaysia	healthy subjects	83	1
7585158	114878	Central/South Asian	Tamil	\N	healthy subjects	106	1
7585159	114855	Central/South Asian	Indian	Andhra Pradesh, South India	healthy	106	1
7585160	114855	Central/South Asian	Indian	Karanatka, South India	healthy	94	1
7585161	114855	Central/South Asian	Indian	Kerala, South India	healthy	107	1
7585162	114855	Central/South Asian	Indian	Tamildadu, South India	healthy	140	1
7585163	114421	Central/South Asian	South/Central Asia	\N	Human Genome Diversity Panels	210	1
7585164	114695	Central/South Asian	Indian	Ahmedabad, Gujarat, West India	healthy subjects	160	1
7585165	114861	Central/South Asian	Indian	Uttar Pradash, North India	healthy	300	1
7585166	114863	Central/South Asian	Indian	North Indians	healthy	125	1
7585167	114865	Central/South Asian	Indian	Jawaharlal, South Indians	Breast cancer	132	1
7585168	114406	Central/South Asian	Trinidadian	Indo-Trinidadians	healthy subjects	167	1
7585169	114867	Central/South Asian	Indian	Madras	hypertensive patients and controls	160	1
7585170	114874	Central/South Asian	Pakistani	Rawalpindi	breast cancer	223	1
7585171	114876	Central/South Asian	Pakistani	Pathan/Khyber, Pakhtunkhwa province	healthy volunteers	200	1
7585172	114569	Central/South Asian	Indian	Singapore	TTSH Biobank	179	1
7585173	114870	Central/South Asian	Indian	subjects of Kashmir origin	controls	200	1
7585174	114872	Central/South Asian	Indian	Western India, Mumbai	healthy volunteers	49	1
7585175	114880	Central/South Asian	Indian	South Indian	MDD patients	105	1
7585176	3001761	Central/South Asian	South Asian (SAS)	\N	healthy subjects	481	1
7585177	114580	East Asian	Japanese	\N	healthy subjects	318	1
7585178	114582	East Asian	Japanese	\N	healthy subjects	98	1
7585179	114584	East Asian	Japanese	\N	healthy subjects	162	1
7585180	114586	East Asian	Japanese	\N	healthy subjects	206	1
7585181	114632	East Asian	Malay	Kuala Lumpur	healthy subjects	107	1
7585182	114588	East Asian	Japanese	\N	healthy subjects	151	1
7585183	114540	East Asian	Chinese	\N	healthy subjects	223	1
7585184	114590	East Asian	Japanese	\N	healthy subjects	162	1
7585185	114542	East Asian	Chinese	living in Malaysia	healthy subjects+patients	236	1
7585186	114592	East Asian	Japanese	\N	healthy subjects	86	1
7585187	114594	East Asian	Japanese	\N	subjects on antiarrythmic drugs and/or beta-blockers	254	1
7585188	114596	East Asian	Japanese	\N	healthy subjects	286	1
7585189	114598	East Asian	Japanese	\N	healthy subjects	285	1
7585190	114620	East Asian	Korean	\N	anonymized subjects	400	1
7585191	114544	East Asian	Chinese	\N	healthy subjects	295	1
7585192	114546	East Asian	Chinese	Eastern Han	healthy subjects	363	1
7585193	114421	East Asian	East Asian	\N	Human Genome Diversity Panels	241	1
7585194	114548	East Asian	Chinese	Singapore	healthy subjects	100	1
7585195	114548	East Asian	Japanese	1st generation Japanese	healthy subjects	105	1
7585196	114548	East Asian	Japanese	3rd generation Japanese	healthy subjects	82	1
7585197	114548	East Asian	Japanese	Native Japanese	healthy subjects	100	1
7585198	114548	East Asian	Korean	\N	healthy subjects	100	1
7585199	114550	East Asian	Chinese	Han, Shanghai	healthy subjects	100	1
7585200	114550	East Asian	Chinese	Han, Shantou	healthy subjects	100	1
7585201	114550	East Asian	Chinese	Han, Shenyang	healthy subjects	100	1
7585202	114550	East Asian	Chinese	Han, Xi'an	healthy subjects	100	1
7585203	114603	East Asian	Japanese	\N	healthy subjects	455	1
7585204	114623	East Asian	Korean	\N	healthy subjects	758	1
7585205	114656	East Asian	Vietnamese	Kinh origin	healthy subjects	74	1
7585206	114554	East Asian	Chinese	Han, Beijing	HapMap and healthy subjects	100	1
7585207	114556	East Asian	Chinese	Han	DNA Repository of the PGRC	89	1
7585208	114556	East Asian	Korean	\N	DNA Repository of the PGRC	758	1
7585209	114556	East Asian	Vietnamese	Viet Kinh	DNA Repository of the PGRC	122	1
7585210	114607	East Asian	Japanese	\N	breast cancer	282	1
7585211	114605	East Asian	Japanese	\N	healthy subjects	98	1
7585212	114558	East Asian	Chinese	Han	healthy subjects	500	1
7585213	114558	East Asian	Japanese	\N	healthy subjects	398	1
7585214	114558	East Asian	Korean	\N	healthy subjects	200	1
7585215	114641	East Asian	Thai	\N	healthy subjects	288	1
7585216	114627	East Asian	Korean	\N	healthy subjects	49	1
7585217	114610	East Asian	Japanese	\N	breast cancer patients	98	1
7585218	114574	East Asian	Chinese	Han Chinese; across China	healthy subjects	214	1
7585219	114574	East Asian	Chinese	Hui Chinese; Ningxia Hui Autonomous Region	healthy subjects	111	1
7585220	114574	East Asian	Mongolian	China; Inner Mongolia Autonomous Region	healthy subjects	129	1
7585221	114560	East Asian	Chinese	Han	healthy subjects	136	1
7585222	114560	East Asian	Chinese	Hui	healthy subjects	164	1
7585223	114560	East Asian	Mongolian	living in China	healthy subjects	158	1
7585224	114560	East Asian	Uyghur	living in China	healthy subjects	214	1
7585225	114643	East Asian	Thai	\N	breast cancer patients	57	1
7585226	114653	East Asian	Tibetan	living in China	healthy subjects	96	1
7585227	114578	East Asian	Filipino	\N	breast cancer patients	138	1
7585228	114578	East Asian	Vietnamese	\N	breast cancer patients	86	1
7585229	114572	East Asian	Chinese	Han Chinese; northern and southern regions	healthy	1954	1
7585230	114563	East Asian	Chinese	residing in Ningxia	healthy and hyperlipidemia patients	350	1
7585231	114565	East Asian	Chinese	residing in Seoul	all male, healthy subjects	130	1
7585232	114565	East Asian	Japanese	Fukuoka	healthy subjects, 81% male	208	1
7585233	114565	East Asian	Korean	seoul or Gyeonggi-do	all male, healthy subjects	448	1
7585234	114567	East Asian	Chinese	Eastern Han	healthy	229	1
7585235	114613	East Asian	Japanese	\N	healthy	1017	1
7585236	114634	East Asian	Malay	Breat cancer	\N	52	1
7585237	312209	East Asian	Thai	\N	healthy	190	1
7585238	114647	East Asian	Thai	\N	autistic children	86	1
7585239	114569	East Asian	Chinese	Singapore	TTSH Biobank	201	1
7585240	114569	East Asian	Malay	Singapore	TTSH Biobank	126	1
7585241	114639	East Asian	Russian	Nanai, Khabarovsk territory, Russian Far East	healthy volunteers	70	1
7585242	114649	East Asian	Thai	\N	autistic children	97	1
7585243	114630	East Asian	Korean	\N	healthy subjects	3417	1
7585244	114651	East Asian	Thai	\N	healthy volunteers	721	1
7585245	114615	East Asian	Japanese	\N	controls (no methamphetamine)	567	1
7585246	114615	East Asian	Japanese	\N	methamphetamine abusers	82	1
7585247	114618	East Asian	Karen	living in Thailand/Myanmar border region	\N	70	1
7585248	114659	East Asian	Vietnamese	Kinh origin	Healthy volunteers	136	1
7585249	3001761	East Asian	East Asian (EAS)	\N	healthy subjects	502	1
7585250	114703	European	French	\N	healthy(n=144); various diseases (n=528)	672	1
7585251	114705	European	German	\N	healthy subjects	589	1
7585252	114707	European	German	\N	healthy subjects	195	1
7585253	114363	European	Caucasian	\N	healthy subjects	464	1
7585254	114736	European	North American	\N	healthy subjects	208	1
7585255	114688	European	Dutch	\N	healthy subjects	765	1
7585256	114365	European	North American	Southern CA	healthy subjects	143	1
7585257	114751	European	Norwegian	\N	healthy subjects	83	1
7585258	114755	European	Polish	\N	healthy subjects	300	1
7585259	114674	European	Croatian	\N	healthy subjects	200	1
7585260	114369	European	North American	Kansas City	healthy subjects	203	1
7585261	114767	European	Russian	Voronezh Region	71 healthy+other misc patients	290	1
7585262	114771	European	Sardinian	\N	healthy subjects	48	1
7585263	114771	European	Spanish	Southern Spain	healthy subjects	51	1
7585264	114709	European	German	\N	healthy subjects	308	1
7585265	114720	European	Italian	\N	healthy subjects	360	1
7585266	114793	European	Swedish	\N	blood donors	281	1
7585267	114793	European	Swedish	\N	fatal intoxication cases	236	1
7585268	114373	European	North American	Kansas City	healthy subjects	203	1
7585269	114693	European	Faroese	\N	healthy subjects	309	1
7585270	114681	European	Danish	\N	healthy subjects	276	1
7585271	114379	European	North American	\N	healthy subjects	209	1
7585272	114670	European	Caucasian	\N	hepatocytes	51	1
7585273	114774	European	Spanish	\N	healthy subjects	105	1
7585274	114683	European	Danish	\N	healthy controls	244	1
7585275	114683	European	Danish	\N	psychiatric patients	225	1
7585276	114711	European	German	\N	healthy subjects	308	1
7585277	114132	European	Greek	\N	healthy subjects	283	1
7585278	114776	European	Spanish	Barcelona	Trauma service patients	290	1
7585279	114385	European	North American	\N	healthy subjects	339	1
7585280	114381	European	North American	\N	healthy subjects	262	1
7585281	114421	European	European	\N	Human Genome Diversity Panels	157	1
7585282	114677	European	Czech	\N	healthy subjects	223	1
7585283	114778	European	Spanish	Barcelona	psychiatric patients (no extrapyramidal symptoms)	188	1
7585284	114778	European	Spanish	Barcelona	psychiatric patients (with extrapyramidal symptoms)	79	1
7585285	114387	European	North American	\N	healthy subjects+patients with unrelated disease	347	1
7585286	114753	European	Norwegian	\N	breast cancer patients	151	1
7585287	114548	European	Caucasian	\N	healthy subjects	142	1
7585288	114757	European	Portugese	\N	healthy subjects	100	1
7585289	114410	European	Brazilian	European descent	healthy subjects	92	1
7585290	114410	European	Brazilian	European descent	schizophrenia patients	186	1
7585291	114800	European	Swiss	\N	healthy subjects	165	1
7585292	114408	European	Brazilian	European descent, Sao Paulo	general population treated at hospital	178	1
7585293	114695	European	Finnish	Kankaanpää. West Finnish	healthy subjects	56	1
7585294	114695	European	Finnish	Suomussalami, Est Finnish	healthy subjects	86	1
7585295	114389	European	North American	Kentucky	mentally ill patients	3779	1
7585296	114722	European	Italian	\N	healthy subjects	218	1
7585297	114722	European	Italian	\N	multiple chemical sensitivity patients	110	1
7585298	114781	European	Spanish	La Alpujarra region	healthy subjects	104	1
7585299	114781	European	Spanish	\N	healthy subjects	185	1
7585300	114391	European	North American	Kansas City	healthy subjects	237	1
7585301	114391	European	Spanish	\N	healthy subjects+psychiatric patients	176	1
7585302	114558	European	North American & European	\N	healthy subjects	454	1
7585303	114686	European	Danish	\N	multiple myeloma patients	228	1
7585304	114796	European	Swedish	\N	fatal intoxication cases	239	1
7585305	114796	European	Swedish	\N	natural death cases	205	1
7585306	114796	European	Swedish	\N	suicide cases	254	1
7585307	114664	European	Austrian	\N	healthy subjects	93	1
7585308	114714	European	Hungarian	\N	healthy subjects	112	1
7585309	114725	European	Italian	\N	breast cancer, controls	300	1
7585310	114517	European	Cuban	European descent	healthy subjects	130	1
7585311	114679	European	Czech	\N	orthopedic patients (knee arthroscopy)	156	1
7585312	312282	European	Portugese	\N	healthy	1138	1
7585313	114785	European	Spanish	\N	breast cancer	133	1
7585314	114718	European	Hungarian	\N	recurrent unipolar depression patients	55	1
7585315	114746	European	North American	\N	orthopedic trauma patients	112	1
7585316	114787	European	Spanish	\N	breast cancer	90	1
7585317	114733	European	Macedonian	\N	healthy	184	1
7585318	114802	European	Swiss	\N	breast cancer	99	1
7585319	114802	European	Swiss	\N	breast cancer	99	1
7585320	114690	European	Dutch & Belgian	\N	breast cancer	196	1
7585321	114662	European	Albanian	\N	DNA bank	100	1
7585322	114662	European	Macedonian	\N	DNA bank	100	1
7585323	114662	European	Roma	\N	DNA bank	100	1
7585324	114769	European	Russian	St Petersburg	blood donors	1230	1
7585325	114716	European	Hungarian	\N	healthy	431	1
7585326	114716	European	Roma	\N	healthy	426	1
7585327	114444	European	Caucasian	Helena, Montana	psychiatric patients	688	1
7585328	114698	European	Finnish	living in Helsinki region	healthy volunteers	857	1
7585329	114789	European	Spanish	\N	first episode psychosis patients	70	1
7585330	114791	European	Spanish	Madrid	healthy subjects	148	1
7585331	114727	European	Italian	central Italy	healthy volunteers	55	1
7585332	114727	European	Italian	northern Italy	healthy volunteers	64	1
7585333	114727	European	Italian	southern Italy	healthy volunteers	55	1
7585334	114731	European	Italian	\N	patient control cohort	169	1
7585335	114395	European	North American	self defined as 'Caucasian', living in the US	patients for which a PGx test was ordered	37571	1
7585336	114400	European	Portugese & Spanish	Iberian	\N	1530	1
7585337	114700	European	Finnish	\N	female controls	597	1
7585338	114700	European	Finnish	\N	male controls	257	1
7585339	114761	European	Portugese	\N	women after giving birth	55	1
7585340	114761	European	Portugese	\N	women of child-bearing age	53	1
7585341	114404	European	White/Caucasian	\N	US military volunteers	300	1
7585342	3001761	European	European (EUR)	\N	healthy subjects	498	1
7585343	114531	Latino	Nicaraguan	\N	healthy subjects	137	1
7585344	114513	Latino	Columbian	Mestizo-prevalent	healthy subjects	121	1
7585345	114491	Latino	American	Mexican American, Southern CA	healthy subjects	349	1
7585346	114493	Latino	American	Mexican American, El Paso, TX	healthy subjects	50	1
7585347	114495	Latino	American	Mexican American, Southern CA	healthy subjects	264	1
7585348	114523	Latino	Mexican	Mestizos	healthy subjects	243	1
7585349	114470	Latino	Mexican	Mestizos, Nuevo Ideal	healthy subjects	110	1
7585350	114535	Latino	Puerto Rican	\N	random newborns	94	1
7585351	114408	Latino	Brazilian	Mulatto, Sao Paulo	general population treated at hospital	89	1
7585352	114499	Latino	Brazilian	Sao Paulo	ALL pediatric patients	95	1
7585353	114391	Latino	American	Hispanic living in Kansas City	anonymous subjects	150	1
7585354	114391	Latino	Puerto Rican	\N	psychiatric patients	50	1
7585355	114459	Latino	Mexican	6 different Mestizo subpopulations	healthy subjects	96	1
7585356	114533	Latino	Nicaraguan	Mestizos	healthy subjects	98	1
7585357	114502	Latino	Brazilian	Porto Allegre	breast cancer patients	97	1
7585358	114521	Latino	Ecuadorian	Mestizo	healthy subjects	118	1
7585359	114480	Latino	Venezuelan	urban admixed, city of Barquisimeto	healthy subjects	149	1
7585360	114517	Latino	Cuban	Mestizos	healthy subjects	126	1
7585361	114506	Latino	Chilean	Santiago de Chile, (37% Amerindian/Caucasian)	healthy subjects	253	1
7585362	114461	Latino	Mexican	Western Mestizos	healthy subjects	125	1
7585363	114402	Latino	Costa Rican	Mestizos	healthy	139	1
7585364	114504	Latino	Brazilian	North, Northeast, Southeast, South	healthy subjects	1020	1
7585365	114468	Latino	Mexican	Mestizos, Chiapas	healthy	100	1
7585366	114472	Latino	Mexican	Mestizo, Nuevo Léon, NE Mexico	healthy	102	1
7585367	114472	Latino	Mexican	Mestizo, San Critobal de las Casas	healthy	102	1
7585368	114508	Latino	Chilean	Mestizos (general population, Santiago)	healthy	321	1
7585369	114510	Latino	Chilean	Mestizos, eastern part hospital of San Jose	healthy volunteers	123	1
7585370	114510	Latino	Chilean	Mestizos, northern part of San Jose	healthy volunteers	121	1
7585371	114519	Latino	Cuban	\N	healthy subjects	174	1
7585372	114395	Latino	American	self defined as 'Hispanic', living in the US	subjects receiving PGx testing	2072	1
7585373	114400	Latino	Admixed Latin American	Mestizo	\N	1898	1
7585374	114400	Latino	Cuban	White Latin American; 4 white grandparents	\N	267	1
7585375	114404	Latino	Hispanic/LatinX	\N	US military volunteers	94	1
7585376	114818	Near Eastern	Saudi Arabian	\N	healthy subjects	101	1
7585377	114823	Near Eastern	Turkish	SE Anatolia	healthy subjects	404	1
7585378	114771	Near Eastern	Syrian	\N	healthy subjects	51	1
7585379	114809	Near Eastern	Bedouin	Israel	healthy subjects	50	1
7585380	114825	Near Eastern	Turkish	\N	healthy subjects	140	1
7585381	114827	Near Eastern	Turkish	Bursa	\N	100	1
7585382	114806	Near Eastern	Ashkenazi Jews	New York	healthy subjects	250	1
7585383	114421	Near Eastern	Middle-Eastern	\N	Human Genome Diversity Panels	148	1
7585384	114813	Near Eastern	Iranian	Eastern Azerbaijan	healthy subjects	100	1
7585385	114815	Near Eastern	Iranian	Mazandaran	healthy subjects	100	1
7585386	114811	Near Eastern	Emirati	United Arab Emirates	majority psychiatric patients	302	1
7585387	114829	Near Eastern	Turkish	Middle Black Seas area	patients with arthritis, joint/back pain	249	1
7585388	114831	Near Eastern	Turkish	\N	healthy subjects	100	1
7585389	114820	Near Eastern	Saudi Arabian	different geographic regions	healthy	192	1
7585390	114837	Near Eastern	Turkish	\N	healthy volunteers	160	1
7585391	114400	Near Eastern	Ashkenazi Jews	Argentina	\N	173	1
7585392	114835	Near Eastern	Iranian	\N	Female breast cancer patients	134	1
7585393	114833	Near Eastern	Iraqi	Mid-Euphrates	ACS patients	500	1
7585394	114839	Oceanian	Australian Aborigines	NW Australia	healthy subjects	239	1
7585395	114421	Oceanian	Oceanian	\N	Human Genome Diversity Panels	39	1
7585396	114842	Oceanian	Maori	\N	DNA Bank	60	1
7585397	114844	Oceanian	Papua New Guinean	Alexishafen	healthy subjects	84	1
7585398	114844	Oceanian	Papua New Guinean	Kunjingini	healthy subjects	88	1
7585399	114404	Oceanian	Hawaiian/Pacific Islander	\N	US military volunteers	9	1
7585400	114847	Oceanian	Melanesian/Polynesian	Ni-Vanuatu	Healthy volunteers	278	1
7585401	3002041	Oceanian	Māori and Pacific people living in Aotearoa	\N	Healthy volunteers	202	1
7585402	114412	Sub-Saharan African	Ethiopian	\N	healthy subjects	122	1
7585403	114435	Sub-Saharan African	Zimbabwean	Shona	healthy subjects	76	1
