id	phenotypeid	lookupkey	function1	function2	activityvalue1	activityvalue2	totalactivityscore	description
7582748	7582745	{"Normal function": 1, "Decreased function": 1}	Normal function	Decreased function	n/a	n/a	n/a	An individual carrying one normal function allele and one decreased function allele
7582751	7582750	{"No function": 1, "Normal function": 1}	Normal function	No function	n/a	n/a	n/a	An individual carrying one normal function allele and one no function allele
7582790	7582750	{"Decreased function": 2}	Decreased function	Decreased function	n/a	n/a	n/a	An individual carrying two decreasedl function alleles
7582793	7582792	{"No function": 1, "Uncertain function": 1}	Uncertain function	No function	n/a	n/a	n/a	An individual carrying one no function allele and one uncertain function allele
7583060	7582792	{"No function": 1, "Unknown function": 1}	Unknown function	No function	n/a	n/a	n/a	An individual carrying one no function allele and one unknown function allele
7583137	7582792	{"No function": 1, "Decreased function": 1}	No function	Decreased function	n/a	n/a	n/a	An individual carrying one no function allele and one decreased function allele
7583177	7583176	{"No function": 2}	No function	No function	n/a	n/a	n/a	An individual carrying two no function alleles
7583920	7583919	{"Normal function": 1, "Uncertain function": 1}	Uncertain function	Normal function	n/a	n/a	n/a	An individual carrying one normal function allele and one uncertain function allele
7583928	7583919	{"Decreased function": 1, "Uncertain function": 1}	Uncertain function	Decreased function	n/a	n/a	n/a	An individual carrying one decreased function allele and one uncertain function allele
7583936	7583919	{"Uncertain function": 2}	Uncertain function	Uncertain function	n/a	n/a	n/a	An individual carrying two uncertain function alleles
7583965	7583919	{"Normal function": 1, "Unknown function": 1}	Unknown function	Normal function	n/a	n/a	n/a	An individual carrying one normal function allele and one unknown function allele
7583968	7583919	{"Unknown function": 1, "Decreased function": 1}	Unknown function	Decreased function	n/a	n/a	n/a	An individual carrying one decreased function allele and one unknown function allele
7583971	7583919	{"Unknown function": 2}	Unknown function	Unknown function	n/a	n/a	n/a	An individual carrying two unknown function alleles
7583975	7583919	{"Unknown function": 1, "Uncertain function": 1}	Unknown function	Uncertain function	n/a	n/a	n/a	An individual carrying one uncertain function allele and one unknown function allele
7583991	7583990	{"Increased function": 2}	Increased function	Increased function	n/a	n/a	n/a	An individual carrying two increased function alleles
7583993	7583990	{"Normal function": 1, "Increased function": 1}	Increased function	Normal function	n/a	n/a	n/a	An individual carrying one normal function allele and one increased function allele
7583995	7583990	{"Normal function": 2}	Normal function	Normal function	n/a	n/a	n/a	An individual carrying two normal function alleles
7583998	7583997	{"Decreased function": 1, "Increased function": 1}	Increased function	Decreased function	n/a	n/a	n/a	An individual carrying one increased function allele and one decreased function allele
7584005	7583997	{"Normal function": 1, "Decreased function": 1}	Normal function	Decreased function	n/a	n/a	n/a	An individual carrying one normal function allele and one decreased function allele
7584013	7584012	{"Decreased function": 2}	Decreased function	Decreased function	n/a	n/a	n/a	An individual carrying two decreased function alleles
7584036	7584035	{"Unknown function": 1, "Increased function": 1}	Unknown function	Increased function	n/a	n/a	n/a	An individual carrying one increased function allele and one unknown function allele
7584038	7584035	{"Normal function": 1, "Unknown function": 1}	Unknown function	Normal function	n/a	n/a	n/a	An individual carrying one normal function allele and one unknown function allele
7584040	7584035	{"Unknown function": 1, "Decreased function": 1}	Unknown function	Decreased function	n/a	n/a	n/a	An individual carrying one decreased function allele and one unknown function allele
7584047	7584035	{"Unknown function": 2}	Unknown function	Unknown function	n/a	n/a	n/a	An individual carrying two unknown function alleles
7584050	7584049	{"*31:01 negative": 1}	\N	\N	\N	\N	\N	\N
7584053	7584052	{"*31:01 positive": 1}	\N	\N	\N	\N	\N	\N
7584056	7584055	{"*15:02 negative": 1}	\N	\N	\N	\N	\N	\N
7584059	7584058	{"*15:02 positive": 1}	\N	\N	\N	\N	\N	\N
7584062	7584061	{"*57:01 negative": 1}	\N	\N	\N	\N	\N	\N
7584065	7584064	{"*57:01 positive": 1}	\N	\N	\N	\N	\N	\N
7584068	7584067	{"*58:01 negative": 1}	\N	\N	\N	\N	\N	\N
7584071	7584070	{"*58:01 positive": 1}	\N	\N	\N	\N	\N	\N
