id	guidelineid	drugid	implications	drugrecommendation	classification	phenotypes	activityscore	allelestatus	lookupkey	population	comments	version	dosinginformation	alternatedrugavailable	otherprescribingguidance
7588997	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Rapid Metabolizer"}	{"CYP2D6": "4.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "4.0", "CYP2C19": "Rapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7588998	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Rapid Metabolizer"}	{"CYP2D6": "≥3.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥3.0", "CYP2C19": "Rapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7588999	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Rapid Metabolizer"}	{"CYP2D6": "≥3.25", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥3.25", "CYP2C19": "Rapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589000	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Rapid Metabolizer"}	{"CYP2D6": "≥3.5", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥3.5", "CYP2C19": "Rapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589001	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Rapid Metabolizer"}	{"CYP2D6": "≥4.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥4.0", "CYP2C19": "Rapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589002	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Rapid Metabolizer"}	{"CYP2D6": "≥3.75", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥3.75", "CYP2C19": "Rapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589003	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Rapid Metabolizer"}	{"CYP2D6": "≥5.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥5.0", "CYP2C19": "Rapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589004	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Rapid Metabolizer"}	{"CYP2D6": "≥6.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥6.0", "CYP2C19": "Rapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589005	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Ultrarapid Metabolizer"}	{"CYP2D6": "2.5", "CYP2C19": "n/a"}	{}	{"CYP2D6": "2.5", "CYP2C19": "Ultrarapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589006	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Ultrarapid Metabolizer"}	{"CYP2D6": "3.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "3.0", "CYP2C19": "Ultrarapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589007	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Ultrarapid Metabolizer"}	{"CYP2D6": "2.75", "CYP2C19": "n/a"}	{}	{"CYP2D6": "2.75", "CYP2C19": "Ultrarapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589008	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Ultrarapid Metabolizer"}	{"CYP2D6": "4.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "4.0", "CYP2C19": "Ultrarapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589009	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Ultrarapid Metabolizer"}	{"CYP2D6": "≥3.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥3.0", "CYP2C19": "Ultrarapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589010	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Ultrarapid Metabolizer"}	{"CYP2D6": "≥3.25", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥3.25", "CYP2C19": "Ultrarapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589011	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Ultrarapid Metabolizer"}	{"CYP2D6": "≥3.5", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥3.5", "CYP2C19": "Ultrarapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589012	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Ultrarapid Metabolizer"}	{"CYP2D6": "≥4.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥4.0", "CYP2C19": "Ultrarapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589013	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Ultrarapid Metabolizer"}	{"CYP2D6": "≥3.75", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥3.75", "CYP2C19": "Ultrarapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589014	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Ultrarapid Metabolizer"}	{"CYP2D6": "≥5.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥5.0", "CYP2C19": "Ultrarapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589015	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects"}	Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Ultrarapid Metabolizer"}	{"CYP2D6": "≥6.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥6.0", "CYP2C19": "Ultrarapid Metabolizer"}	general	Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations\nfor conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended	1	f	f	f
7589017	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "n/a"}	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Indeterminate"}	{"CYP2D6": "3.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "3.0", "CYP2C19": "Indeterminate"}	general	n/a	1	f	f	f
7589018	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "n/a"}	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Indeterminate"}	{"CYP2D6": "2.75", "CYP2C19": "n/a"}	{}	{"CYP2D6": "2.75", "CYP2C19": "Indeterminate"}	general	n/a	1	f	f	f
7589019	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "n/a"}	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Indeterminate"}	{"CYP2D6": "4.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "4.0", "CYP2C19": "Indeterminate"}	general	n/a	1	f	f	f
7589020	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "n/a"}	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Indeterminate"}	{"CYP2D6": "≥3.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥3.0", "CYP2C19": "Indeterminate"}	general	n/a	1	f	f	f
7589021	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "n/a"}	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Indeterminate"}	{"CYP2D6": "≥3.25", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥3.25", "CYP2C19": "Indeterminate"}	general	n/a	1	f	f	f
7589022	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "n/a"}	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Indeterminate"}	{"CYP2D6": "≥3.5", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥3.5", "CYP2C19": "Indeterminate"}	general	n/a	1	f	f	f
7589023	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "n/a"}	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Indeterminate"}	{"CYP2D6": "≥4.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥4.0", "CYP2C19": "Indeterminate"}	general	n/a	1	f	f	f
7589024	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "n/a"}	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Indeterminate"}	{"CYP2D6": "≥3.75", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥3.75", "CYP2C19": "Indeterminate"}	general	n/a	1	f	f	f
7589025	100414	RxNorm:2597	{"CYP2D6": "Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure", "CYP2C19": "n/a"}	Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.	Optional	{"CYP2D6": "Ultrarapid Metabolizer", "CYP2C19": "Indeterminate"}	{"CYP2D6": "≥5.0", "CYP2C19": "n/a"}	{}	{"CYP2D6": "≥5.0", "CYP2C19": "Indeterminate"}	general	n/a	1	f	f	f
7589123	2405438	RxNorm:3108	{"G6PD": "Low risk of acute hemolytic anemia"}	No reason to avoid based on G6PD status	Strong	{"G6PD": "Normal"}	{}	{}	{"G6PD": "Normal"}	general	\N	1	f	f	f
7589124	2405438	RxNorm:3108	{"G6PD": "High risk of acute hemolytic anemia"}	Avoid use	Strong	{"G6PD": "Deficient"}	{}	{}	{"G6PD": "Deficient"}	general	\N	1	f	f	f
